iter	Passed	Remaining
0	574	1148045
1	1114	1113790
2	1731	1152466
3	2256	1126148
4	2798	1116746
5	3365	1118535
6	3853	1097070
7	4490	1118085
8	5068	1121271
9	5583	1111178
10	6085	1100305
11	6628	1098090
12	7130	1089893
13	7627	1082055
14	8162	1080209
15	8646	1072106
16	9187	1071678
17	9671	1064935
18	10170	1060419
19	10668	1056229
20	11150	1050772
21	11655	1047947
22	12164	1045601
23	12694	1045154
24	13171	1040579
25	13720	1041708
26	14212	1038597
27	14702	1035483
28	15220	1034495
29	15678	1029567
30	16207	1029461
31	16643	1023592
32	17118	1020356
33	17654	1020862
34	18220	1022978
35	18730	1021862
36	19245	1021052
37	19746	1019524
38	20281	1019783
39	20742	1016376
40	21141	1010161
41	21747	1013839
42	22210	1010852
43	22741	1010975
44	23140	1005327
45	23710	1007182
46	24315	1010393
47	24803	1008656
48	25227	1004471
49	25643	1000102
50	26023	994513
51	26519	993448
52	26990	991515
53	27387	986976
54	27822	983918
55	28405	986086
56	28797	981643
57	29357	982978
58	29731	978106
59	30185	976009
60	30594	972502
61	30969	968036
62	31362	964282
63	31882	964437
64	32277	960883
65	32679	957598
66	33065	953974
67	33450	950374
68	33814	946318
69	34203	943049
70	34604	940166
71	35017	937695
72	35633	940629
73	36102	939635
74	36463	935900
75	36892	933956
76	37272	930845
77	37813	931755
78	38199	928869
79	38607	926573
80	39019	924414
81	39448	922706
82	39853	920466
83	40396	921420
84	40776	918674
85	41200	916959
86	41772	918511
87	42228	917515
88	42774	918452
89	43156	915879
90	43509	912741
91	43980	912116
92	44400	910456
93	44825	908908
94	45208	906550
95	45591	904237
96	45953	901548
97	46435	901227
98	46801	898682
99	47187	896565
100	47540	893852
101	47923	891746
102	48293	889451
103	48740	888571
104	49118	886470
105	49581	885921
106	49955	883791
107	50329	881699
108	50734	880166
109	51179	879363
110	51749	880679
111	52141	878963
112	52600	878387
113	52982	876531
114	53388	875105
115	53759	873126
116	54199	872280
117	54647	871577
118	55015	869619
119	55385	867703
120	55821	866840
121	56201	865138
122	56556	863067
123	56964	861812
124	57512	862682
125	58051	863403
126	58442	861905
127	58962	862333
128	59336	860610
129	59765	859706
130	60295	860239
131	60867	861369
132	61250	859802
133	61786	860398
134	62174	858932
135	62564	857496
136	62974	856358
137	63392	855343
138	63795	854119
139	64213	853119
140	64813	854525
141	65187	852945
142	65716	853395
143	66099	851950
144	66576	851720
145	66948	850147
146	67482	850646
147	67871	849310
148	68362	849257
149	68851	849171
150	69280	848342
151	69828	848972
152	70433	850266
153	70827	849014
154	71374	849586
155	71778	848459
156	72157	847042
157	72521	845475
158	72959	844774
159	73337	843382
160	73898	844091
161	74449	844676
162	75061	845936
163	75573	846057
164	75944	844595
165	76386	843936
166	76775	842691
167	77286	842793
168	77851	843467
169	78266	842512
170	78883	843733
171	79294	842734
172	79704	841731
173	80238	842047
174	80747	842080
175	81137	840876
176	81595	840388
177	81965	838997
178	82324	837506
179	82717	836362
180	83071	834848
181	83569	834777
182	83931	833356
183	84296	831965
184	84664	830623
185	85080	829764
186	85557	829493
187	85932	828242
188	86313	827054
189	86745	826363
190	87196	825858
191	87688	825731
192	88058	824466
193	88660	825365
194	89032	824117
195	89413	822967
196	89789	821775
197	90158	820531
198	90628	820208
199	90996	818966
200	91497	818928
201	91850	817562
202	92241	816537
203	92783	816854
204	93196	816038
205	93617	815288
206	94183	815804
207	94621	815201
208	95087	814840
209	95473	813799
210	95972	813717
211	96476	813679
212	96993	813739
213	97480	813555
214	98040	813963
215	98627	814591
216	99133	814543
217	99588	814067
218	99978	813068
219	100385	812212
220	100786	811309
221	101271	811086
222	101729	810642
223	102130	809748
224	102501	808626
225	102994	808465
226	103488	808303
227	103971	808057
228	104352	807022
229	104727	805946
230	105089	804779
231	105591	804680
232	106108	804692
233	106465	803496
234	106965	803378
235	107418	802905
236	107883	802525
237	108333	802035
238	108790	801592
239	109145	800399
240	109532	799453
241	109918	798497
242	110443	798556
243	110911	798196
244	111343	797583
245	111858	797558
246	112309	797080
247	112667	795944
248	113035	794878
249	113415	793907
250	113919	793807
251	114450	793884
252	114829	792911
253	115189	791814
254	115681	791626
255	116044	790556
256	116402	789455
257	116799	788624
258	117251	788167
259	117671	787491
260	118099	786878
261	118253	134263	262	119023	786096
263	119255	135257	264	119256	135693	265	120257	136238	266	120258	136726	267	121259	137169	268	121260	137549	269	122261	138029	270	122727	783009
271	123263	138939	272	123264	139380	273	124265	139794	274	124266	140352	275	124267	140817	276	125268	141263	277	125269	141758	278	126270	142286	279	126271	142758	906936
272	143179	905755
273	143717	905315
274	144248	904829
275	144665	903634
276	145126	902716
277	145605	901918
278	146199	901822
279	146800	901776
280	147239	900729
281	147709	899873
282	148226	899310
283	148653	898203
284	149054	896942
285	149513	896037
286	149961	895065
287	150409	894098
288	150853	893114
289	151375	892590
290	151884	891993
291	152345	891119
292	152804	890228
293	153209	889030
294	153751	888631
295	154255	888009
296	154810	887684
297	155196	886388
298	155604	885225
299	156096	884544
300	156675	884357
301	157208	883908
302	157597	882648
303	158118	882132
304	158543	881087
305	159062	880562
306	159534	879777
307	160062	879302
308	160483	878245
309	160958	877481
310	161383	876452
311	161912	875988
312	162371	875147
313	162910	874735
314	163489	874537
315	164040	874188
316	164513	873427
317	164902	872219
318	165286	870993
319	165846	870691
320	166313	869909
321	166752	868979
322	167215	868172
323	167719	867585
324	168123	866483
325	168473	865107
326	168983	864556
327	169453	863801
328	169998	863429
329	170533	863003
330	171044	862455
331	171531	861788
332	172045	861261
333	172582	860844
334	173002	859848
335	173414	858815
336	173875	858025
337	174295	857036
338	174878	856855
339	175275	855758
340	175827	855420
341	176336	854869
342	176728	853760
343	177256	853303
344	177687	852385
345	178127	851509
346	178682	851185
347	179218	850773
348	179686	850034
349	180214	849584
350	180666	848773
351	181118	847964
352	181683	847686
353	182208	847216
354	182761	846882
355	183185	845947
356	183665	845270
357	184220	844942
358	184650	844042
359	185132	843380
360	185643	842853
361	186127	842201
362	186518	841133
363	187113	840982
364	187617	840421
365	188160	840040
366	188652	839427
367	189100	838620
368	189574	837930
369	190049	837246
370	190449	836232
371	191019	835964
372	191512	835366
373	191943	834492
374	192389	833687
375	192830	832862
376	193404	832615
377	193866	831880
378	194468	831751
379	194888	830839
380	195343	830080
381	195909	829793
382	196419	829269
383	196898	828614
384	197480	828392
385	197930	827616
386	198356	826740
387	198878	826270
388	199276	825281
389	199735	824548
390	200179	823754
391	200601	822875
392	201172	822607
393	201731	822287
394	202258	821836
395	202802	821451
396	203206	820503
397	203771	820207
398	204235	819501
399	204646	818585
400	205140	818004
401	205633	817420
402	206063	816584
403	206462	815629
404	206966	815089
405	207467	814538
406	208002	814123
407	208385	813110
408	208944	812790
409	209478	812369
410	209956	811730
411	210457	811180
412	210841	810181
413	211344	809642
414	211845	809096
415	212304	808391
416	212813	807873
417	213270	807163
418	213762	806585
419	214223	805889
420	214606	804902
421	215116	804392
422	215552	803609
423	215947	802672
424	216507	802349
425	216939	801554
426	217473	801138
427	218045	800857
428	218548	800323
429	219109	800003
430	219584	799367
431	220117	798944
432	220568	798223
433	220989	797394
434	221466	796770
435	222023	796433
436	222514	795857
437	223026	795359
438	223518	794788
439	223991	794150
440	224383	793229
441	224757	792246
442	225168	791391
443	225759	791173
444	226229	790531
445	226751	790070
446	227108	789038
447	227648	788640
448	228172	788184
449	228610	787434
450	229113	786912
451	229659	786532
452	230115	785846
453	230647	785421
454	231191	785035
455	231654	784372
456	232189	783955
457	232757	783650
458	233242	783065
459	233753	782566
460	234258	782045
461	234691	781288
462	235201	780786
463	235563	779796
464	235972	778961
465	236470	778425
466	236967	777882
467	237517	777514
468	238069	777152
469	238524	776472
470	238876	775461
471	239247	774512
472	239793	774133
473	240170	773207
474	240627	772541
475	241068	771823
476	241524	771155
477	241937	770354
478	242430	769806
479	242906	769202
480	243477	768903
481	243981	768389
482	244517	767978
483	245032	767499
484	245418	766617
485	245915	766082
486	246417	765563
487	246891	764958
488	247463	764656
489	247930	764029
490	248484	763673
491	248976	763121
492	249462	762555
493	249945	761979
494	250386	761277
495	250769	760397
496	251276	759895
497	251722	759211
498	252152	758479
499	252570	757710
500	253038	757095
501	253384	756116
502	253963	755830
503	254383	755074
504	254858	754481
505	255207	753518
506	255549	752534
507	255915	751626
508	256472	751279
509	256822	750323
510	257254	749613
511	257757	749106
512	258293	748698
513	258644	747753
514	259117	747162
515	259609	746628
516	260063	745983
517	260588	745545
518	261041	744898
519	261599	744552
520	262048	743895
521	262509	743273
522	263019	742790
523	263610	742535
524	264105	742009
525	264563	741381
526	265123	741038
527	265590	740434
528	266148	740084
529	266709	739740
530	267248	739338
531	267755	738845
532	268263	738355
533	268752	737810
534	269303	737437
535	269661	736536
536	270211	736162
537	270747	735750
538	271180	735056
539	271657	734480
540	272224	734149
541	272656	733454
542	273143	732910
543	273528	732090
544	274053	731646
545	274424	730792
546	274805	729968
547	275198	729176
548	275780	728883
549	276153	728042
550	276710	727683
551	277195	727135
552	277571	726304
553	278001	725613
554	278374	724775
555	278732	723902
556	279169	723234
557	279636	722644
558	280143	722157
559	280750	721930
560	281112	721070
561	281521	720333
562	282033	719861
563	282599	719527
564	283078	718968
565	283635	718610
566	284195	718257
567	284647	717631
568	285226	717326
569	285578	716450
570	285929	715574
571	286355	714887
572	286817	714290
573	287263	713653
574	287616	712788
575	288035	712088
576	288508	711520
577	289079	711195
578	289559	710645
579	290026	710064
580	290493	709484
581	290990	708976
582	291472	708432
583	291940	707854
584	292284	706978
585	292744	706383
586	293122	705591
587	293510	704824
588	293945	704171
589	294371	703498
590	294804	702841
591	295382	702532
592	295833	701918
593	296307	701360
594	296771	700778
595	297157	700015
596	297727	699684
597	298234	699206
598	298791	698842
599	299364	698516
600	299821	697920
601	300271	697308
602	300716	696684
603	301176	696096
604	301617	695465
605	302051	694817
606	302418	694018
607	302771	693187
608	303122	692352
609	303627	691872
610	304104	691327
611	304612	690853
612	305072	690270
613	305643	689938
614	306091	689328
615	306439	688494
616	306874	687856
617	307305	687210
618	307662	686399
619	308175	685938
620	308748	685610
621	309195	685001
622	309714	684554
623	310182	683991
624	310790	683739
625	311385	683456
626	311772	682718
627	312352	682399
628	312891	681994
629	313361	681435
630	313921	681076
631	314388	680511
632	314831	679896
633	315402	679556
634	315783	678809
635	316232	678209
636	316642	677526
637	317095	676935
638	317521	676286
639	317968	675682
640	318494	675248
641	319013	674797
642	319471	674218
643	320101	674002
644	320634	673580
645	321107	673034
646	321568	672461
647	322102	672040
648	322653	671656
649	323110	671074
650	323625	670615
651	324198	670276
652	324619	669621
653	325186	669267
654	325655	668712
655	326223	668361
656	326771	667966
657	327208	667345
658	327636	666708
659	328164	666273
660	328624	665700
661	329063	665086
662	329585	664639
663	330111	664200
664	330564	663613
665	331048	663090
666	331582	662667
667	332086	662184
668	332707	661934
669	333265	661556
670	333784	661103
671	334238	660518
672	334661	659875
673	335094	659251
674	335625	658820
675	336158	658393
676	336726	658033
677	337141	657375
678	337604	656811
679	338107	656326
680	338559	655742
681	339125	655377
682	339680	654991
683	340171	654482
684	340589	653831
685	341135	653428
686	341657	652977
687	342199	652567
688	342681	652039
689	343100	651393
690	343569	650843
691	343945	650117
692	344398	649537
693	344751	648768
694	345292	648355
695	345741	647768
696	346184	647170
697	346741	646787
698	347094	646022
699	347441	645248
700	347988	644846
701	348447	644280
702	348957	643809
703	349435	643279
704	349953	642822
705	350345	642134
706	350777	641521
707	351208	640906
708	351741	640476
709	352157	639834
710	352582	639211
711	353145	638836
712	353657	638369
713	354127	637827
714	354565	637226
715	355007	636633
